http://www.nytimes.com/2009/12/04/theater/04theater.html	Theater Listings: Dec. 4  10	Approximate running times are in parentheses. Theaters are in Manhattan unless otherwise noted. Full reviews of current shows, additional listings, showtimes and tickets: nytimes.com/theater . Previews and Openings &lsquo;THE GREAT RECESSION&rsquo; In previews; opens on Thursday. The Bats perform one-acts by six of the city&rsquo;s leading young
http://theater2.nytimes.com/2009/12/04/theater/reviews/04this.html	THEATER REVIEW | 'THIS'; Does Adultery Make You an Adult?	&#8220;This&#8221; is a bum title for the beautiful new play at Playwrights Horizons . But then Melissa James Gibson, the author of this tart, melancholy comedy about a group of close friends entering the choppy waters of middle age, has such boundless affection for language that even the drabbest constellations of vowels and consonants &#151;
http://www.nytimes.com/2009/12/04/arts/04bkids.html	‘Wild, Wild World: Living Dinosaurs’	&#8216;WILD, WILD WORLD: LIVING DINOSAURS&#8217; On Saturday Jack Conrad will show that New York is filled with dinosaurs: they roam the streets, hover over your roof, swoop down from trees, nibble on your garbage. &#8220;You can go in Central Park and feed the dinosaurs,&#8221; Dr. Conrad said. &#8220;That is, if you want to.&#8221; Dr. Conrad is
http://www.nytimes.com/2009/12/04/arts/04kids.html	Spare Times: For Children	FOR CHILDREN &lsquo;ADVENTURE THEATER! AN INTERACTIVE THEATRICAL ADVENTURE FOR HEROES OF ALL AGES&rsquo; (Saturday and Sunday) Children are expert improvisers, and in this inspired production they can use all that playtime experience with adults who improvise professionally: the members of Freestyle Repertory Theater. Intended for ages 5 to 13,
http://www.nytimes.com/2009/12/04/arts/04bspare.html	Holiday Cooking Classes	HOLIDAY COOKING CLASSES For all of its lack of realism, Normal Rockwell&#8217;s portrayal of a family about to tuck into a holiday meal (&#8220;Thanksgiving&#8221;) had one thing right: that main course is featured prominently, larger than all of the family members seated around the table. What he missed &#151; aside from the inevitable scuffles
http://www.nytimes.com/2009/12/04/arts/04anthro.html	Panel Criticizes Military’s Use of Embedded Anthropologists	A two-year-old Pentagon program that assigns social scientists to work with military units in Iraq and Afghanistan has come under sharp criticism from a panel of anthropologists who argue that the undertaking is dangerous, unethical and unscholarly. The committee, which released the report on Thursday at the annual meeting of the American
http://www.nytimes.com/2009/12/04/arts/04spare.html	Spare Times	AROUND TOWN Museums and Sites 3698 BARTOW-PELL MANSION MUSEUM &#8220;First Fridays!,&#8221; from 5:30 to 8:30 p.m., features a holiday candlelight-tour preview, as well as music by the a cappella group the Metropolitones, and refreshments; reservations requested: (718) 885-1461. A free Seaside trolley will transport visitors between the Pelham Bay
http://www.nytimes.com/2009/12/04/arts/design/04antiques.html	ANTIQUES; Downsizing Dealers Drum Up Sales	Two fixtures of the international fair circuit, which have both recently shuttered shops full of 20th-century antiques, are selling off inventory at auctions next week. On Tuesday, Christie&#8217;s is auctioning about 200 pieces from Historical Design, which had occupied a cavernous store at 306 East 61st Street in Manhattan. On Thursday, Heritage
http://www.nytimes.com/2009/12/03/movies/03arts-MOVIESHORTSF_BRF.html	ARTS, BRIEFLY; Movie Shorts for Short Attention Spans	If you are the type who positively, absolutely has to see the flying cows scene from &#8220;Twister,&#8221; you are in luck. Six studios &#151; Metro-Goldwyn-Mayer, Paramount Pictures, Sony Pictures Entertainment, 20th Century Fox, Universal Pictures and Warner Brothers &#151; have agreed to post clips from about 12,000 movies on a Web site,
http://www.nytimes.com/2009/12/03/movies/03sundance.html	Sundance Tries to Hone Its Artsy Edge	LOS ANGELES &#151; Sundance, under new leadership, is trying to tilt risky. The programmers of the Sundance Film Festival on Wednesday announced a schedule of competition films that at least in their view, reflect no particular current in independent cinema except one: the artier the better. &#8220;We really tried to hunker down and make some hard
http://www.nytimes.com/2009/12/03/movies/03arts-POLANSKISHOU_BRF.html	ARTS, BRIEFLY; Polanski’s House Arrest to Begin on Friday	Switzerland&#8217;s Justice Ministry said on Wednesday it would place the filmmaker Roman Polanski under house arrest on Friday, The Associated Press reported. Folco Galli , a spokesman for the ministry, said Mr. Polanski, 76, would be released from a prison near Zurich and transferred to his house in Gstaad on Friday. On Nov. 25 the Swiss Criminal
http://www.nytimes.com/2009/12/03/theater/03arts-BASEBALLFEUD_BRF.html	ARTS, BRIEFLY; Baseball Feud Onstage, Reunion Offstage	Though Juan Marichal , a pitcher, and John Roseboro, a catcher, may be best known for a sports rivalry that culminated in an on-field confrontation in 1965, the two eventually settled their differences and became friends. Now Mr. Marichal and the family of Mr. Roseboro, who died in 2002, are planning a reunion at a performance of a play that
http://www.nytimes.com/2009/12/03/theater/03arts-BYEBYEBIRDIE_BRF.html	ARTS, BRIEFLY; ‘Bye Bye Birdie’ Extends	Roundabout Theater Company &#8217;s revival of &#8220;Bye Bye Birdie&#8221; will be going steady with Broadway a little longer. On Tuesday, Roundabout said its production would be extended by two weeks, and would play at Henry Miller&#8217;s Theater through Jan. 24. Though &#8220;Birdie&#8221; took it on the beak from critics, Roundabout says the
http://theater2.nytimes.com/2009/12/03/theater/reviews/03streetcar.html	THEATER REVIEW | 'A STREETCAR NAMED DESIRE'; A Fragile Flower Rooted to the Earth	The lady who lives for illusion has never felt more real. Playing that immortal bruised Southern lily Blanche DuBois, in Liv Ullmann &#8217;s heart-stopping production of &#8220;A Streetcar Named Desire&#8221; at the Brooklyn Academy of Music , Cate Blanchett soars spectacularly on the gossamer wings of fantasies that allow her character to live
http://www.nytimes.com/2009/12/03/books/03book.html	BOOKS OF THE TIMES; Pick Your Adjective: Talented, Secretive, Perverse	The photo on the cover of &#8220;The Talented Miss Highsmith&#8221; depicts the young, sultry author of &#8220;Strangers on a Train&#8221; holding one of her pet cats. There&#8217;s no question which is the more spookily feline-looking creature. Pretty as it is, this picture is hardly representative. As a pet owner Highsmith was much more
http://www.nytimes.com/2009/12/03/arts/03congdon.html	Don Congdon, Literary Agent for Ray Bradbury and Others, Dies at 91	Don Congdon, a literary agent who spotted the talent of Ray Bradbury early in both their careers and whose long list of celebrated authors also included William Styron , Jack Finney, Evan S. Connell, William L. Shirer and David Sedaris , died on Monday at his home in Brooklyn Heights. He was 91. The death was confirmed by his son, Michael. Mr.
http://www.nytimes.com/2009/12/03/arts/03cooke.html	Jack Cooke, Bluegrass Musician, Dies at 72	NORTON, Va. (AP) &#151; Jack Cooke, the longtime bass player and singer with Ralph Stanley&#8217;s Clinch Mountain Boys, died here Tuesday. He was 72. The group&#8217;s public relations firm said he died at a hospital after collapsing at his home. Mr. Cooke started playing with the Stanley Brothers as a teenager before leaving to join Bill
http://www.nytimes.com/2009/12/03/arts/television/03arts-FEWWATCHSCRU_BRF.html	ARTS, BRIEFLY; Few Watch ‘Scrubs’ After Obama Address	An hour of lingerie models drew a modest audience on Tuesday, as did the premiere of the new season of &#8220;Scrubs,&#8221; on a night when much of the first hour of prime time was pre-empted by President Obama &#8217;s live address. According to Nielsen&#8217;s estimates, CBS drew the night&#8217;s biggest post-address audience with a repeat of
http://tv.nytimes.com/2009/12/03/arts/television/03mind.html	TELEVISION REVIEW | 'INSIDE THE MIND OF GOOGLE'; Inside a Company That Mistook Itself for a Verb	The best way to watch &#8220;Inside the Mind of Google,&#8221; Maria Bartiromo &#8217;s report on the Internet giant Thursday on CNBC, is to not watch the first quarter of it. Instead spend that time Googling whatever it is you Google on a Thursday night. Then go tune in the program, already in progress. If you were to watch the insufferably
http://www.nytimes.com/2009/12/03/arts/music/03keys.html	MUSIC REVIEW | ALICIA KEYS; In Command of Her Sound and Herself	&#8220;I know I&#8217;m losing control,&#8221; Alicia Keys sang in &#8220;Love Is Blind,&#8221; the song that started her set at the Nokia Theater on Tuesday night. But she wasn&#8217;t, not for an instant. Through her set Ms. Keys measured every note, every bit of between-song patter, every motion and every vocal inflection, even when she was
http://www.nytimes.com/2009/12/03/arts/music/03juilliard.html	MUSIC REVIEW | JUILLIARD STRING QUARTET; Now Joining in the Bows Is the Newest Violinist	Cliffhangers are rare in the chamber music world, but the Juilliard String Quartet came close to producing one last season. When Joel Smirnoff, the group&#8217;s first violinist, was appointed president of the Cleveland Institute of Music, the ensemble hired Nick Eanet, who was then in the Metropolitan Opera Orchestra , and had spent six years as
http://www.nytimes.com/2009/12/03/arts/music/03sales.html	Susan Boyle, Top Seller, Shakes Up CD Trends	For most of Susan Boyle&#8217;s fans, buying her new album last week meant getting a shrink-wrapped CD, not a download. Ms. Boyle&#8217;s album, &#8220;I Dreamed a Dream&#8221; (Syco/Columbia), sold 701,000 copies in the United States, according to Nielsen SoundScan, the biggest opening-week sales for any album this year, eclipsing superstars like
http://www.nytimes.com/2009/12/03/arts/music/03oboe.html	Among Oboists, a Mutual Admiration Society	They talked of Vivaldi concertos and legendary teachers, performance anxiety and those pesky critics. Oligarchs of the oboe world gathered on Monday for a private dinner, buffet style, in a quiet corner of Greenwich Village. The event drew players from the New York Philharmonic , the Philadelphia Orchestra , the Metropolitan Opera , New York City
http://www.nytimes.com/2009/12/03/arts/music/03grammy.html	10 Grammy Nods for Beyoncé	Beyonc&#233; and Taylor Swift lead the nominations for the 52nd annual Grammy Awards , which will be held in Los Angeles on Jan. 31. In a ceremony on Wednesday night broadcast live by CBS, with performances by the Black Eyed Peas, Nick Jonas and the R&#38;B singer Maxwell, Beyonc&#233; received 10 nominations, including album, record and song of
