http://www.nytimes.com/2009/12/03/nyregion/03mitchell.html	Jan Mitchell, Restaurateur, Dies at 96	Jan Mitchell, a restaurateur and art collector who resuscitated the venerable New York restaurants L&#252;chow&#8217;s and Longchamps, and who built an important collection of pre-Columbian gold that he gave to the Metropolitan Museum of Art , died on Saturday at his home in Manhattan. He was 96 and also had homes in Palm Beach, Fla., and
http://www.nytimes.com/2009/12/03/us/03shubin.html	Lester Shubin Dies at 84; Used Kevlar in Vests, Saving Lives	Lester Shubin, a government scientist who saw the potential of using Kevlar to strengthen bullet-resistant vests for the police, an advance that has saved the lives of more than 3,000 officers, died Nov. 20 at his home in Fairfax, Va. He was 84. The cause was a heart attack, his son, Harry, said. Working with the Army in the early 1970s, Mr. Shubin
http://www.nytimes.com/2009/12/03/arts/03congdon.html	Don Congdon, Literary Agent for Ray Bradbury and Others, Dies at 91	Don Congdon, a literary agent who spotted the talent of Ray Bradbury early in both their careers and whose long list of celebrated authors also included William Styron , Jack Finney, Evan S. Connell, William L. Shirer and David Sedaris , died on Monday at his home in Brooklyn Heights. He was 91. The death was confirmed by his son, Michael. Mr.
http://www.nytimes.com/2009/12/03/arts/03cooke.html	Jack Cooke, Bluegrass Musician, Dies at 72	NORTON, Va. (AP) &#151; Jack Cooke, the longtime bass player and singer with Ralph Stanley&#8217;s Clinch Mountain Boys, died here Tuesday. He was 72. The group&#8217;s public relations firm said he died at a hospital after collapsing at his home. Mr. Cooke started playing with the Stanley Brothers as a teenager before leaving to join Bill
http://www.nytimes.com/2009/12/03/arts/music/03degen.html	Robert Degen, Had a Hand in the Hokey Pokey, Dies at 104	Somewhere along the line &#151; at a wedding, at a child&#8217;s birthday party, in third-grade music class &#151; everybody has done the hokey pokey. Admit it: you sang the silly song, you did the silly dance. You know the one: You put your right hand in, You put right hand out, You put your right hand in, And you shake it all about. You do the
http://www.nytimes.com/2009/12/02/obituaries/02henrich.html	Tommy Henrich, Yankees Clutch Hitter, Dies at 96	Tommy Henrich, the right fielder known as Old Reliable who helped propel the Yankees to seven World Series championships, died on Tuesday in Dayton, Ohio. He was 96. His death was announced by the Yankees. Playing with the Yankees for 11 seasons, Henrich was a timely hitter, an outstanding defensive player and a leader who epitomized the image of
http://www.nytimes.com/2009/12/02/arts/music/02keane.html	Bob Keane, Pop Record Producer, Dies at 87	Bob Keane, a record producer who discovered Ritchie Valens and helped start the careers of Sam Cooke , the Bobby Fuller Four and Frank Zappa , died in Hollywood, Calif., on Saturday. He was 87. The cause was renal failure resulting from non-Hodgkin&#8217;s lymphoma, his son Tom said. Mr. Keane scored a coup for his fledgling Del-Fi label in 1958
http://www.nytimes.com/2009/12/01/nyregion/01mitchell.html	Jan Mitchell, Who Put the ü Back in Lüchow’s, Dies at 96	Jan Mitchell, a restaurateur and art collector who resuscitated the venerable New York restaurants L&#252;chow&#8217;s and Longchamps, and who built an important collection of pre-Columbian gold that he gave to the Metropolitan Museum of Art , died Saturday at his home in Manhattan. He was 96 and also had homes in Palm Beach, Fla., and Southampton,
http://www.nytimes.com/2009/12/01/business/01joseph.html	Fred Joseph, Who Led Drexel in Its Heyday, Dies at 72	Frederick H. Joseph, an investment banker who helped to create the junk bond business as chief executive of Drexel Burnham Lambert , died on Friday in Manhattan. He was 72 and had homes in Manhattan and Andover, Mass. The cause was complications of multiple myeloma, said his wife, Linn Anderson. Mr. Joseph, who was known as Fred, rose from a
http://www.nytimes.com/2009/12/01/theater/01eisen.html	Max Eisen, Press Agent of Broadway’s Bygone Era, Dies at 91	Max Eisen, a Broadway press agent from the days when feeding tidbits of gossip to columnists like Walter Winchell and staging stunts were standard practice for stirring up a bit more box-office appeal, died on Nov. 23 at his home in Manhattan. He was 91. His son, Glenn, said he died of natural causes. From his office above Sardi&#8217;s on West
http://www.nytimes.com/2009/12/01/arts/music/01hawes.html	Bess Lomax Hawes, Folklorist and Singer Who Co-Wrote ‘M.T.A.,’ Dies at 88	Bess Lomax Hawes, a folklorist, teacher and singer who helped write &#8220; M.T.A. ,&#8221; an enduring folk ditty about an unfortunate subway commuter that became a hit for the Kingston Trio in 1959, died on Friday in Portland, Ore. She was 88 and lived in Portland. Her death was announced by her daughter Naomi Bishop. As the youngest child of the
